80 996
0 10 91
0 11 94
0 12 0
0 13 90
0 14 81
0 15 52
0 16 37
0 17 34
0 18 87
0 19 39
0 20 65
0 21 87
1 10 6
1 11 85
1 12 86
1 13 36
1 14 26
1 15 76
1 16 21
1 17 56
1 18 22
1 19 9
1 20 69
1 21 39
2 10 37
2 11 73
2 12 8
2 13 90
2 14 17
2 15 16
2 16 60
2 17 28
2 18 39
2 19 81
2 20 94
2 21 18
3 10 72
3 11 46
3 12 55
3 13 1
3 14 75
3 15 36
3 16 32
3 17 71
3 18 65
3 19 89
3 20 7
3 21 66
4 10 62
4 11 48
4 12 95
4 13 52
4 14 22
4 15 60
4 16 64
4 17 56
4 18 36
4 19 50
4 20 91
4 21 7
5 10 64
5 11 25
5 12 19
5 13 50
5 14 60
5 15 36
5 16 98
5 17 93
5 18 10
5 19 49
5 20 83
5 21 0
6 10 55
6 11 16
6 12 97
6 13 65
6 14 83
6 15 56
6 16 66
6 17 48
6 18 0
6 19 53
6 20 32
6 21 95
7 10 0
7 11 54
7 12 14
7 13 76
7 14 30
7 15 12
7 16 19
7 17 47
7 18 91
7 19 15
7 20 67
7 21 13
8 10 58
8 11 77
8 12 31
8 13 59
8 14 22
8 15 13
8 16 6
8 17 16
8 18 22
8 19 65
8 20 77
8 21 42
9 10 18
9 11 18
9 12 2
9 13 31
9 14 88
9 15 22
9 16 34
9 17 6
9 18 85
9 19 61
9 20 50
9 21 29
10 22 55
10 23 50
10 24 83
10 25 74
10 26 72
10 27 51
10 28 38
10 29 9
10 30 17
10 31 81
10 32 80
10 33 50
10 34 22
10 35 76
10 36 36
10 37 63
10 38 30
10 39 11
11 22 32
11 23 2
11 24 79
11 25 97
11 26 1
11 27 33
11 28 3
11 29 69
11 30 61
11 31 58
11 32 65
11 33 55
11 34 87
11 35 33
11 36 10
11 37 90
11 38 88
11 39 57
12 22 61
12 23 33
12 24 88
12 25 23
12 26 84
12 27 93
12 28 37
12 29 81
12 30 50
12 31 56
12 32 93
12 33 27
12 34 97
12 35 43
12 36 54
12 37 38
12 38 48
12 39 39
13 22 53
13 23 78
13 24 31
13 25 34
13 26 86
13 27 55
13 28 4
13 29 64
13 30 97
13 31 41
13 32 42
13 33 90
13 34 30
13 35 58
13 36 94
13 37 49
13 38 77
13 39 22
14 22 74
14 23 12
14 24 79
14 25 75
14 26 78
14 27 46
14 28 63
14 29 5
14 30 53
14 31 12
14 32 39
14 33 38
14 34 91
14 35 38
14 36 90
14 37 1
14 38 88
14 39 16
15 22 76
15 23 75
15 24 81
15 25 42
15 26 50
15 27 87
15 28 56
15 29 47
15 30 24
15 31 17
15 32 64
15 33 94
15 34 37
15 35 75
15 36 34
15 37 65
15 38 14
15 39 3
16 22 82
16 23 71
16 24 89
16 25 85
16 26 24
16 27 27
16 28 40
16 29 66
16 30 58
16 31 52
16 32 92
16 33 38
16 34 99
16 35 9
16 36 63
16 37 35
16 38 75
16 39 79
17 22 68
17 23 89
17 24 8
17 25 19
17 26 58
17 27 29
17 28 22
17 29 13
17 30 44
17 31 83
17 32 44
17 33 72
17 34 6
17 35 34
17 36 89
17 37 89
17 38 30
17 39 73
18 22 61
18 23 77
18 24 56
18 25 24
18 26 87
18 27 48
18 28 45
18 29 6
18 30 91
18 31 86
18 32 40
18 33 82
18 34 33
18 35 1
18 36 37
18 37 85
18 38 79
18 39 37
19 22 93
19 23 97
19 24 75
19 25 10
19 26 7
19 27 63
19 28 58
19 29 40
19 30 1
19 31 76
19 32 77
19 33 9
19 34 74
19 35 97
19 36 82
19 37 43
19 38 78
19 39 46
20 22 10
20 23 84
20 24 31
20 25 28
20 26 62
20 27 34
20 28 81
20 29 36
20 30 50
20 31 53
20 32 72
20 33 83
20 34 34
20 35 86
20 36 3
20 37 4
20 38 5
20 39 7
21 22 26
21 23 89
21 24 36
21 25 48
21 26 12
21 27 86
21 28 75
21 29 6
21 30 75
21 31 28
21 32 99
21 33 63
21 34 55
21 35 24
21 36 97
21 37 64
21 38 9
21 39 31
22 40 77
22 41 93
22 42 48
22 43 13
22 44 100
22 45 86
22 46 81
22 47 4
22 48 97
22 49 17
22 50 18
22 51 64
22 52 19
22 53 48
22 54 96
22 55 48
22 56 93
22 57 80
23 40 55
23 41 66
23 42 0
23 43 42
23 44 57
23 45 36
23 46 56
23 47 31
23 48 75
23 49 42
23 50 20
23 51 5
23 52 26
23 53 87
23 54 82
23 55 7
23 56 50
23 57 62
24 40 2
24 41 40
24 42 35
24 43 7
24 44 43
24 45 88
24 46 49
24 47 9
24 48 56
24 49 52
24 50 70
24 51 86
24 52 45
24 53 32
24 54 69
24 55 65
24 56 1
24 57 22
25 40 70
25 41 81
25 42 54
25 43 73
25 44 70
25 45 83
25 46 46
25 47 30
25 48 74
25 49 2
25 50 95
25 51 90
25 52 90
25 53 84
25 54 59
25 55 72
25 56 43
25 57 30
26 40 91
26 41 14
26 42 79
26 43 41
26 44 28
26 45 15
26 46 35
26 47 21
26 48 0
26 49 48
26 50 31
26 51 15
26 52 77
26 53 22
26 54 87
26 55 17
26 56 47
26 57 36
27 40 84
27 41 66
27 42 15
27 43 30
27 44 77
27 45 20
27 46 62
27 47 27
27 48 84
27 49 84
27 50 30
27 51 18
27 52 2
27 53 29
27 54 68
27 55 28
27 56 24
27 57 2
28 40 53
28 41 48
28 42 51
28 43 82
28 44 69
28 45 88
28 46 1
28 47 95
28 48 15
28 49 53
28 50 8
28 51 83
28 52 94
28 53 94
28 54 55
28 55 49
28 56 46
28 57 62
29 40 54
29 41 20
29 42 10
29 43 80
29 44 77
29 45 13
29 46 39
29 47 34
29 48 9
29 49 33
29 50 8
29 51 23
29 52 62
29 53 35
29 54 45
29 55 27
29 56 68
29 57 59
30 40 6
30 41 15
30 42 78
30 43 52
30 44 41
30 45 91
30 46 6
30 47 19
30 48 57
30 49 40
30 50 58
30 51 86
30 52 51
30 53 13
30 54 44
30 55 8
30 56 69
30 57 67
31 40 35
31 41 80
31 42 20
31 43 99
31 44 40
31 45 38
31 46 8
31 47 39
31 48 11
31 49 52
31 50 94
31 51 54
31 52 65
31 53 29
31 54 96
31 55 53
31 56 32
31 57 7
32 40 47
32 41 4
32 42 1
32 43 5
32 44 13
32 45 19
32 46 49
32 47 85
32 48 57
32 49 97
32 50 24
32 51 85
32 52 30
32 53 69
32 54 52
32 55 38
32 56 1
32 57 67
33 40 93
33 41 12
33 42 9
33 43 91
33 44 76
33 45 39
33 46 23
33 47 69
33 48 94
33 49 62
33 50 21
33 51 34
33 52 66
33 53 6
33 54 6
33 55 90
33 56 74
33 57 1
34 40 83
34 41 10
34 42 25
34 43 94
34 44 43
34 45 36
34 46 11
34 47 73
34 48 99
34 49 20
34 50 86
34 51 88
34 52 36
34 53 5
34 54 88
34 55 58
34 56 60
34 57 80
35 40 47
35 41 28
35 42 27
35 43 60
35 44 63
35 45 33
35 46 6
35 47 27
